subject_code,module_number,module_title,topics
BCS3101,4,Introduction to C Language,"Introduction to the C language and its advantages; C program structure writing building and executable version; Debugging and running C programs; Data types and variables; Operands and operators; Arithmetic expressions; Control statements; Use of while for and do while loops; Nesting loops; Break and continue statement"
BAS3104,1,Environment and Natural Resources,"Environment definition principles and scope of environmental studies; Structure and composition of atmosphere hydrosphere lithosphere and biosphere; Ecosystems structure and function; Types of ecosystem; Energy flow in ecosystem; Food chain and food web; Ecological pyramids; Predator prey interaction; Population dynamics of prey and predator; Material cycles carbon cycle nitrogen cycle energy cycle; Environmental impact assessment definition concept elements and methodology; Sustainable development; Natural resources renewable and non renewable; Drinking water quality and water borne diseases; Arsenic and fluoride problems in drinking water; Deforestation and impact of overexploitation of natural resources; Energy resources conventional and non conventional; Solar energy; Hydro power energy; Hydrogen energy; Wind energy; Geothermal energy; Biomass energy; Nuclear energy; Fossil fuels"
BAS3104,2,Environmental Pollution and Current Environmental Issues,"Environmental pollution definition pollutants sources causes effects and control measures of air water and soil pollution; Noise pollution sources measurement and standards; Impact of noise on human health; Noise control and abatement measures; Waste water treatment; Eutrophication and biomagnification; Solid waste management source characterization effects and control measures of urban and industrial solid waste; Population growth and logistic curve equation; Climate change and global warming; Acid rain; Ozone layer depletion; Water conservation and rainwater harvesting; Biodiversity and its conservation; Natural disaster management; Nuclear hazards; Environmental protection act; Air prevention and control of pollution act; Water prevention and control of pollution act; Role of NGOs in environment protection; Environmental education and awareness"
BEC3101,1,Diodes,"Energy band theory; Semiconductor material; Mass action law; PN junction forward and reverse bias characteristics; Diode rectifier half wave and full wave rectifiers; Breakdown mechanism zener and avalanche breakdown; Zener diode and its applications; LED; LCD; Solar cell"
BEC3101,2,Transistors,"Construction of bipolar junction transistor PNP and NPN; Working of transistor; BJT configurations CE CC CB; Input and output characteristics of CE and CC configuration; Biasing fixed bias emitter bias potential divider bias; Comparison of biasing circuits; JFET basic construction and characteristics; Concept of pinch off; Maximum drain saturation current; Input and transfer characteristics of JFET; Biasing of JFET self bias and voltage divider bias; MOSFET depletion and enhancement type; MOSFET construction operation and characteristics"
BEC3101,3,Digital Electronics and Communication Systems,"Number system and complements; Boolean algebra basic theorems and De Morgan theorems; Standard logic gates; Universal logic gates; Implementation of Boolean function using basic and universal gates; Reduction of Boolean function using K map up to four variables; Block diagram of communication system; Electromagnetic spectrum; Need for modulation; Basic definitions of AM FM PM"
BEC3101,4,Operational Amplifier and Applications,"Characteristics of ideal operational amplifier; Basic op amp practical op amp configurations open loop and closed loop; Applications of op amp non inverting amplifier voltage follower summing amplifier difference amplifier integrator differentiator; Principle of oscillator and Barkhausen criterion"
BCS3301,1,Set Theory Relations Functions and Natural Numbers,"Set theory introduction and combination of sets; Multisets; Ordered pairs; Proofs of general identities on sets; Relations definition and operations; Properties of relations; Composite relations; Equality of relations; Recursive definition of relation; Order of relations; Functions definition and classification; Operations on functions; Recursively defined functions; Growth of functions; Natural numbers and mathematical induction; Induction with nonzero base cases; Proof by counter example; Proof by contradiction"
BCS3301,2,Groups Rings Fields and Lattices,"Algebraic structures definition; Groups subgroups and order; Cyclic groups; Cosets; Lagrange's theorem; Normal subgroups; Rings and fields elementary properties; Integers modulo p; Partial order sets definition and combination; Hasse diagram; Lattices definition and properties; Bounded complemented modular complete lattice"
BCS3301,3,Boolean Algebra and Propositional Logic,"Boolean algebra introduction axioms and theorems; Manipulation of Boolean expressions; Simplification of Boolean functions; Karnaugh maps; Logic gates and digital circuits; Propositional logic and well formed formula; Truth tables; Tautology satisfiability contradiction; Algebra of proposition; Theory of inference; Predicate logic first order predicate well formed formula; Quantifiers; Inference theory of predicate logic"
BCS3301,4,Trees Graph Recurrence Relation and Combinatorics,"Trees definition; Binary tree; Binary search tree; Representation of trees; Graphs definition and terminology; Representation of graphs; Multigraphs; Bipartite graphs; Planar graphs; Isomorphism and homomorphism of graphs; Euler and Hamiltonian paths; Graph coloring; Recurrence relation; Generating function; Recursive definition of functions; Recursive algorithms; Method of solving recurrences; Combinatorics counting techniques; Pigeonhole principle"
BCS3302,1,Introduction to UML,"Introduction to UML; Model and importance of modelling; Principles of modelling; Object oriented modelling; Conceptual model of UML; Architecture and software development life cycle"
BCS3302,2,Structural and Basic Behavioral Modeling,"Classes and advanced classes; Relationships dependency generalization and realization association aggregation; Interfaces; Packages; Class and object diagrams; Interaction diagrams sequence diagram and collaboration diagram; Modeling techniques"
BCS3302,3,Advanced Behavioral and Architectural Modeling,"Use cases and use case diagrams; Use case and collaboration modeling techniques; Activity diagrams forking and joining swimlanes object flow; Architectural modeling events and signals; Processes and threads; State machines and state chart diagrams; Component diagrams; Deployment diagrams"
BCS3303,1,Binary Numbers and Gate Level Minimization,"Digital system and binary numbers; Signed binary numbers; Binary codes; Error detecting codes; Error correcting codes; Hamming codes; Floating point representation; Gate level minimization map method up to five variables; Don't care conditions; Karnaugh maps; POS simplification; NAND NOR implementation; Quine McClusky method"
BCS3303,2,Combinational Logic,"Combinational circuits analysis procedure; Design procedure; Binary adder and subtractor; Decimal adder; Binary multiplier; Magnitude comparator; Decoders; Encoders; Multiplexers"
BCS3303,3,Synchronous Sequential Logic,"Sequential circuits; Binary cell; Latches; SR flip flop; JK flip flop; Master slave JK flip flop; D flip flop; T flip flop; Synchronous sequential circuit design; Fundamentals of synchronous sequential circuits; Classification of synchronous machines; Analysis of synchronous sequential circuits; Design of synchronous and asynchronous counters; Shift registers; Ring counters; Analysis and design of finite state machines; Timing issues in synchronous circuits"
BCS3303,4,Asynchronous Sequential Logic,"Fundamentals of asynchronous sequential circuits; Analysis and design of asynchronous sequential circuits; Pulse mode and fundamental mode circuits; Cycles races and hazards in asynchronous circuits; Programmable logic devices PLA PAL CPLD FPGA architecture; Finite state machines Mealy Moore design"
BCS3305,1,Introduction to Programming Environment,"Concept of algorithm; Strategy for designing algorithms; Top down development and stepwise refinement; Flowchart; Programming languages assembler compiler interpreter; Systematic development of programs; Structured programming concept; Number system and conversion methods; Introduction to C language; Identifiers keywords constants and variables in C; Storage classes; Fundamental data types in C; Integer types short long long double; Character types; Single and double precision floating point"
BCS3305,2,Storage Classes Operators and Control Statements,"Storage classes in C automatic register static extern; Arithmetic operators; Relational operators; Logical operators; Assignment operators; Bitwise operators; Conditional increment and decrement operators; Special operators comma and sizeof; Type conversion in C; Operator precedence and associativity; Mixed mode operations; Standard input output functions printf scanf getchar putchar; Conditional and control statements if else switch nested if; Use of break and default statement; While do while and for loop iteration; Nesting of loops; Use of break and continue statements"
